83.932%, 2.436%, 6.566%, 0.315%, 1.584%, 0.232%, 0.241%, 0.482%, 0.0%, 0.009%, 1.445%, 0.333%, 1.009%, 0.0%, 0.065%, 0.157%, 0.0%, 1.176%, 0.019%, 0.0%
75.445%, 5.859%, 10.745%, 0.062%, 2.319%, 0.166%, 0.331%, 0.911%, 0.0%, 0.0%, 1.925%, 0.269%, 1.014%, 0.0%, 0.062%, 0.021%, 0.0%, 0.87%, 0.0%, 0.0%
36.745%, 2.206%, 52.272%, 0.0%, 3.088%, 0.199%, 0.706%, 0.265%, 0.0%, 0.0%, 2.272%, 0.463%, 0.772%, 0.0%, 0.11%, 0.176%, 0.0%, 0.728%, 0.0%, 0.0%
85.758%, 2.303%, 5.489%, 0.422%, 1.42%, 0.115%, 0.192%, 0.806%, 0.0%, 0.0%, 1.536%, 0.154%, 0.883%, 0.0%, 0.038%, 0.115%, 0.0%, 0.768%, 0.0%, 0.0%
36.868%, 2.637%, 19.833%, 0.0%, 31.405%, 0.323%, 0.565%, 1.346%, 0.0%, 0.027%, 4.171%, 0.538%, 1.103%, 0.0%, 0.108%, 0.646%, 0.0%, 0.323%, 0.108%, 0.0%
69.746%, 4.402%, 13.949%, 0.062%, 2.108%, 1.798%, 0.992%, 0.744%, 0.0%, 0.0%, 1.736%, 0.31%, 2.542%, 0.0%, 0.31%, 0.186%, 0.0%, 1.116%, 0.0%, 0.0%
53.858%, 3.357%, 21.393%, 0.05%, 7.365%, 1.353%, 1.854%, 1.353%, 0.0%, 0.0%, 2.655%, 0.601%, 4.509%, 0.0%, 0.251%, 0.501%, 0.0%, 0.752%, 0.15%, 0.0%
66.351%, 3.056%, 9.931%, 0.073%, 5.056%, 0.691%, 0.4%, 5.966%, 0.0%, 0.036%, 3.674%, 0.582%, 1.31%, 0.0%, 0.182%, 0.837%, 0.0%, 1.819%, 0.036%, 0.0%
83.473%, 2.195%, 7.36%, 0.194%, 1.614%, 0.323%, 0.258%, 0.968%, 0.0%, 0.0%, 1.162%, 0.452%, 1.356%, 0.0%, 0.0%, 0.129%, 0.0%, 0.452%, 0.065%, 0.0%
77.702%, 2.723%, 9.787%, 0.511%, 2.809%, 0.596%, 0.34%, 0.596%, 0.0%, 0.085%, 1.447%, 0.426%, 1.362%, 0.0%, 0.255%, 0.17%, 0.0%, 1.191%, 0.0%, 0.0%
35.824%, 1.536%, 11.802%, 0.0%, 4.33%, 0.279%, 0.419%, 1.117%, 0.0%, 0.0%, 41.76%, 0.279%, 0.908%, 0.0%, 0.14%, 0.419%, 0.0%, 0.978%, 0.209%, 0.0%
71.78%, 1.847%, 7.029%, 0.103%, 3.284%, 0.359%, 0.564%, 0.77%, 0.0%, 0.0%, 2.463%, 8.415%, 2.206%, 0.0%, 0.154%, 0.257%, 0.0%, 0.718%, 0.051%, 0.0%
59.051%, 2.609%, 7.668%, 0.158%, 2.609%, 0.711%, 1.265%, 1.581%, 0.0%, 0.0%, 2.451%, 0.395%, 21.028%, 0.0%, 0.079%, 0.079%, 0.0%, 0.316%, 0.0%, 0.0%
82.496%, 3.411%, 5.925%, 0.269%, 2.693%, 0.18%, 0.18%, 0.898%, 0.0%, 0.0%, 1.436%, 0.718%, 1.167%, 0.0%, 0.18%, 0.09%, 0.0%, 0.359%, 0.0%, 0.0%
52.297%, 3.982%, 30.398%, 0.0%, 2.603%, 1.072%, 1.455%, 1.991%, 0.0%, 0.0%, 2.067%, 0.383%, 1.455%, 0.0%, 0.613%, 0.613%, 0.0%, 0.842%, 0.23%, 0.0%
51.527%, 1.125%, 26.768%, 0.0%, 10.209%, 0.482%, 0.884%, 0.804%, 0.0%, 0.0%, 2.814%, 0.563%, 1.045%, 0.0%, 0.161%, 3.457%, 0.0%, 0.161%, 0.0%, 0.0%
57.849%, 4.597%, 24.545%, 0.0%, 3.729%, 1.474%, 0.781%, 1.041%, 0.0%, 0.173%, 2.168%, 0.52%, 0.954%, 0.0%, 0.173%, 0.173%, 0.0%, 1.735%, 0.087%, 0.0%
39.353%, 1.618%, 5.178%, 0.0%, 0.906%, 0.518%, 0.065%, 1.424%, 0.0%, 0.0%, 0.971%, 0.259%, 0.712%, 0.0%, 0.129%, 0.0%, 0.0%, 48.867%, 0.0%, 0.0%
32.354%, 1.614%, 12.536%, 0.0%, 5.627%, 0.29%, 0.248%, 1.117%, 0.0%, 0.0%, 43.484%, 0.414%, 0.91%, 0.0%, 0.207%, 0.496%, 0.0%, 0.414%, 0.29%, 0.0%
49.01%, 3.564%, 34.554%, 0.0%, 4.653%, 0.693%, 0.891%, 0.792%, 0.0%, 0.099%, 1.386%, 0.792%, 1.287%, 0.0%, 0.495%, 0.891%, 0.0%, 0.891%, 0.0%, 0.0%
